glpK_L228V__mmpL5_Y300!,mmpL5_A273G__Rv3249c_V83M,mmpL5_P445L,mmpL5_Y586!,Rv0678_L83P,Rv0678_R90C,Rv0678_L117R,Rv0678_274_indel,Rv1979c_247_indel,Rv1979c_R409Q,Rv3249c_A17A,LINEAGE,SITEID,UNIQUEID,PLATEDESIGN,LOG2MIC,UPLOG2MIC,cluster12,cluster25,cluster50,cluster100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,site.10.subj.YA00027205.lab.YA00027205.iso.1,UKMYC5,-8.059999999999999,-4.06,119,451,423,1186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,site.08.subj.24TB-079.lab.2245.iso.1,UKMYC6,-2.0,-1.0,1051,1283,2568,320
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.1136.lab.2014185064.iso.1,UKMYC5,-8.059999999999999,-4.06,6827,6827,6827,114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.DR-190.lab.IML-01140.iso.1,UKMYC6,-5.06,-4.06,25,148,358,1177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,site.06.subj.SSM_0177-R.lab.06MIL0096.iso.1,UKMYC5,-4.06,-3.06,4367,4367,1091,2184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0203.lab.TAN-152.iso.1,UKMYC5,-8.059999999999999,-4.06,5242,5242,5242,82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.01025.lab.718269.iso.1,UKMYC5,-8.059999999999999,-4.06,7954,7954,690,212
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.01538.lab.727269.iso.1,UKMYC5,-8.059999999999999,-4.06,5863,5863,5863,2931
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.05TB11072.lab.25495.iso.1,UKMYC5,-8.059999999999999,-4.06,352,2138,380,560
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.01044.lab.722176.iso.1,UKMYC5,-8.059999999999999,-4.06,2175,2175,196,316
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.00281.lab.702547.iso.1,UKMYC5,-4.06,-3.06,9816,1990,765,462
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.10403.lab.IML-00843.iso.1,UKMYC6,-4.06,-3.06,8444,8444,394,211
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PMOP-0595.lab.MOP-145.iso.1,UKMYC5,-8.059999999999999,-4.06,1924,852,1705,748
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,site.20.subj.SA01668433.lab.YA00131226.iso.1,UKMYC6,-5.06,-4.06,4364,4364,799,568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.UA17-2017.lab.UA17-2017.iso.1,UKMYC5,-8.059999999999999,-4.06,7582,475,240,963
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-1370.lab.MA-00147-19.iso.1,UKMYC6,-5.06,-4.06,78,320,125,1014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,site.06.subj.IR31.lab.06MIL1855.iso.1,UKMYC6,-4.06,-3.06,1507,3016,3016,753
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00889.lab.713166.iso.1,UKMYC5,-8.059999999999999,-4.06,10374,218,3,344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,site.04.subj.00397.lab.704787.iso.1,UKMYC5,-8.059999999999999,-4.06,10035,5017,5017,2508
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.PSLM-0818.lab.SLM-080.iso.1,UKMYC5,-8.059999999999999,-4.06,9254,831,1664,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PMFR-0686.lab.MFR-085.iso.1,UKMYC5,-8.059999999999999,-4.06,2992,2992,868,1189
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00043548.lab.YA00043548.iso.1,UKMYC5,-8.059999999999999,-4.06,2910,2910,2910,31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.GB-83740052.lab.83740052.iso.1,UKMYC6,-5.06,-4.06,667,667,2674,895
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.1077.lab.2014184058.iso.1,UKMYC5,-8.059999999999999,-4.06,7257,7257,3628,3628
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2345.lab.FN-01927-18.iso.1,UKMYC6,-5.06,-4.06,4086,4086,480,3848
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0104.lab.22A057.iso.1,UKMYC5,-4.06,-3.06,1247,1014,2365,2365
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.00020.lab.628076.iso.1,UKMYC5,-8.059999999999999,-4.06,5699,5699,5699,2849
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.02TB2800.lab.26599.iso.1,UKMYC5,-8.059999999999999,-4.06,2334,736,1474,103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.T4759.lab.IML-00064.iso.1,UKMYC6,-8.059999999999999,-5.06,7249,7249,3624,3624
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.T5985.lab.IML-00083.iso.1,UKMYC6,-5.06,-4.06,5670,5670,5670,600
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.01270.lab.724347.iso.1,UKMYC5,-8.059999999999999,-4.06,5801,5801,5801,2900
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00060152.lab.YA00060152.iso.1,UKMYC5,-8.059999999999999,-4.06,3562,3562,87,152
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PSLM-0793.lab.SLM-052.iso.1,UKMYC5,-8.059999999999999,-4.06,5337,474,667,496
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0337.lab.TAN-338.iso.1,UKMYC5,-8.059999999999999,-4.06,818,818,414,305
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,site.20.subj.SA01679994.lab.YA00131228.iso.1,UKMYC6,-5.06,-4.06,1654,3309,3309,31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,site.06.subj.06TB_0653.lab.06MIL1539.iso.1,UKMYC6,-5.06,-4.06,836,1674,6702,122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.00541.lab.711642.iso.1,UKMYC5,-8.059999999999999,-4.06,1365,1366,2733,1366
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,site.04.subj.00728.lab.707570.iso.1,UKMYC5,-8.059999999999999,-4.06,9876,748,672,1345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.GB-92960044.lab.IML-01839.iso.1,UKMYC6,-8.059999999999999,-5.06,8493,8493,4246,4246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.02TB2404.lab.25907.iso.1,UKMYC5,-8.059999999999999,-4.06,3820,3820,592,4750
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.01189.lab.721807.iso.1,UKMYC5,-8.059999999999999,-4.06,9097,12,358,1177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14,site.14.subj.4195.lab.4195.iso.1,UKMYC6,-4.06,-3.06,529,2122,1480,186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00089291.lab.YA00089291.iso.1,UKMYC5,-8.059999999999999,-4.06,366,366,1467,152
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.01218.lab.717277.iso.1,UKMYC5,-4.06,-3.06,330,972,196,316
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0407.lab.TAN-697.iso.1,UKMYC5,-8.059999999999999,-4.06,9568,2391,2391,2391
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,site.08.subj.DTU-087.lab.2225.iso.1,UKMYC5,-8.059999999999999,-4.06,1787,3575,107,826
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00073443.lab.YA00073443.iso.1,UKMYC5,-8.059999999999999,-4.06,1219,1498,1498,232
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.24TB00-031.lab.2291.iso.1,UKMYC6,-5.06,-4.06,497,159,221,890
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.GB-90950030.lab.IML-01976.iso.1,UKMYC6,-4.06,-3.06,7336,7336,3667,3667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.DR-5.lab.IML-01058.iso.1,UKMYC6,-5.06,-4.06,9651,16,1124,690
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.N1184.lab.06MIL1570.iso.1,UKMYC6,-5.06,-4.06,1587,3176,3176,1588
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,site.10.subj.YA00047753.lab.YA00047753.iso.1,UKMYC5,-8.059999999999999,-4.06,4704,263,1530,673
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,site.06.subj.06TB_0286.lab.06MIL0877.iso.1,UKMYC5,-4.06,-3.06,129,519,499,211
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00134982.lab.YA00134982.iso.1,UKMYC6,-4.06,-3.06,9668,2416,2416,2416
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.DJB43.lab.06MIL1522.iso.1,UKMYC6,-5.06,-4.06,4907,2453,2453,109
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-0905.lab.CO-13937-18.iso.1,UKMYC6,-8.059999999999999,-5.06,10662,1383,1383,1383
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PSLM-0817.lab.SLM-079.iso.1,UKMYC5,-8.059999999999999,-4.06,5328,161,93,1022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.00886.lab.716012.iso.1,UKMYC5,-4.06,-3.06,9808,834,1669,1669
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2296.lab.FN-00349-16.iso.1,UKMYC6,-8.059999999999999,-5.06,2397,897,853,978
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.LS-1412.lab.MA-02427-18.iso.1,UKMYC6,-4.06,-3.06,7095,7095,64,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,site.10.subj.YA00106044.lab.YA00106044.iso.1,UKMYC6,-5.06,-4.06,2163,2163,142,950
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0390.lab.TAN-630.iso.1,UKMYC5,-8.059999999999999,-4.06,1207,511,94,221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.GDH_17286.lab.06MIL0150.iso.1,UKMYC5,-8.059999999999999,-4.06,9593,4796,4796,81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,site.04.subj.01123.lab.717547.iso.1,UKMYC5,-8.059999999999999,-4.06,10893,5446,5446,226
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-1708.lab.MA-04822-19.iso.1,UKMYC6,-8.059999999999999,-5.06,138,328,754,658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14,site.14.subj.3714.lab.3714.iso.1,UKMYC6,-4.06,-3.06,837,517,554,1110
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14,site.14.subj.4382.lab.4382.iso.1,UKMYC6,-4.06,-3.06,180,909,366,186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.NHM_0292-14.lab.06MIL0345.iso.1,UKMYC5,-8.059999999999999,-4.06,3899,3899,1949,1949
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PMOP-0526.lab.MOP-044.iso.1,UKMYC5,-8.059999999999999,-4.06,289,487,396,978
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PMK-1041.lab.MK-2235.iso.1,UKMYC5,-8.059999999999999,-4.06,5321,1046,309,2481
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,site.02.subj.0736.lab.2013221227.iso.1,UKMYC5,-4.06,-3.06,8519,8519,4259,4259
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-3115.lab.CR-02007-16.iso.1,UKMYC6,-8.059999999999999,-5.06,1368,277,556,1182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,site.04.subj.00922.lab.715611.iso.1,UKMYC5,-8.059999999999999,-4.06,10681,5340,5340,377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-0055.lab.CO-06383-18.iso.1,UKMYC6,-8.059999999999999,-5.06,7933,7933,1345,454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0238.lab.TAN-510.iso.1,UKMYC5,-8.059999999999999,-4.06,1220,73,1696,847
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.10698.lab.IML-00991.iso.1,UKMYC6,-8.059999999999999,-5.06,607,953,77,611
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.02TB2626.lab.26266.iso.1,UKMYC5,-8.059999999999999,-4.06,8564,8564,574,271
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.N576.lab.06MIL1567.iso.1,UKMYC6,-5.06,-4.06,1323,2648,2648,296
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.00586.lab.706173.iso.1,UKMYC5,-8.059999999999999,-4.06,9697,4848,4848,4848
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00106024.lab.YA00106024.iso.1,UKMYC6,-5.06,-4.06,4608,1151,1151,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00051698.lab.YA00051698.iso.1,UKMYC5,-8.059999999999999,-4.06,6762,6762,6762,137
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.1178.lab.2013185554.iso.1,UKMYC5,-8.059999999999999,-4.06,9253,4626,4626,403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0139.lab.TAN-417.iso.1,UKMYC5,-8.059999999999999,-4.06,5450,5450,5450,2724
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.06TB_0854.lab.06MIL1802.iso.1,UKMYC6,-5.06,-4.06,4786,293,588,89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00028561.lab.YA00028561.iso.1,UKMYC5,-8.059999999999999,-4.06,4788,537,1078,2157
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-1019.lab.CO-15954-18.iso.1,UKMYC6,-5.06,-4.06,6592,6592,6592,262
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,10,site.10.subj.YA00027930.lab.YA00027930.iso.1,UKMYC6,-3.06,-2.0,228,102,474,816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,site.02.subj.1180.lab.2013185561.iso.1,UKMYC5,-8.059999999999999,-4.06,8471,8471,4235,4235
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.1112.lab.2014185026.iso.1,UKMYC5,-8.059999999999999,-4.06,10163,5081,5081,470
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0180.lab.TAN-531.iso.1,UKMYC5,-8.059999999999999,-4.06,1220,73,1696,847
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,site.08.subj.24TB-084.lab.2345.iso.1,UKMYC6,-5.06,-4.06,1987,3976,1139,2279
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0423.lab.235003-14.iso.1,UKMYC5,-8.059999999999999,-4.06,8429,8429,4214,4214
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,site.02.subj.0149.lab.2013232062.iso.1,UKMYC5,-4.06,-3.06,10435,5217,5217,2608
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.GB-82840118.lab.82840118.iso.1,UKMYC6,-8.059999999999999,-5.06,8885,52,6798,510
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,site.10.subj.YA00034061.lab.YA00034061.iso.1,UKMYC5,-4.06,-3.06,8450,8450,1525,512
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.24TB00-015.lab.2247.iso.1,UKMYC6,-5.06,-4.06,937,1876,517,1606
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.T1005.lab.T1005.iso.1,UKMYC5,-8.059999999999999,-4.06,9682,473,394,211
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.00363.lab.700271.iso.1,UKMYC5,-8.059999999999999,-4.06,7361,7361,3680,3680
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0292.lab.TAN-687.iso.1,UKMYC5,-8.059999999999999,-4.06,2546,2546,2546,1056
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.00225.lab.702361.iso.1,UKMYC5,-8.059999999999999,-4.06,9231,898,898,1798
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.BOR-8122-17.lab.8122.iso.1,UKMYC5,-4.06,-3.06,7397,7397,394,211
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,site.20.subj.SA00463898.lab.YA00135908.iso.1,UKMYC6,-5.06,-4.06,2333,2333,2333,456
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00524.lab.706416.iso.1,UKMYC5,-8.059999999999999,-4.06,71,972,196,316
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2403.lab.FN-01867-18.iso.1,UKMYC6,-8.059999999999999,-5.06,1207,511,94,221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0115.lab.TAN-345.iso.1,UKMYC5,-8.059999999999999,-4.06,5333,294,1181,2363
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00973.lab.707806.iso.1,UKMYC5,-8.059999999999999,-4.06,1002,2006,436,4806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-0792.lab.MA-02254-18.iso.1,UKMYC6,-5.06,-4.06,78,320,125,1014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,site.10.subj.YA00022347.lab.YA00022347.iso.1,UKMYC5,-8.059999999999999,-4.06,2421,1067,1582,512
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PMOP-0549.lab.MOP-079.iso.1,UKMYC5,-8.059999999999999,-4.06,697,1396,2794,563
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00679.lab.706238.iso.1,UKMYC5,-8.059999999999999,-4.06,10520,186,206,4806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00567.lab.705768.iso.1,UKMYC5,-8.059999999999999,-4.06,7884,7884,86,4806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.00789.lab.707540.iso.1,UKMYC5,-8.059999999999999,-4.06,9951,4975,4975,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.GB-84020025.lab.GB-84020025.iso.1,UKMYC6,-8.059999999999999,-5.06,7927,7927,3963,3963
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.T6300.lab.IML-00095.iso.1,UKMYC6,-5.06,-4.06,5712,216,3482,211
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.01219.lab.721512.iso.1,UKMYC5,-8.059999999999999,-4.06,9619,4809,4809,4809
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2258.lab.FN-00644-17.iso.1,UKMYC6,-8.059999999999999,-5.06,9797,220,1182,978
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.01553.lab.730088.iso.1,UKMYC5,-8.059999999999999,-4.06,6178,6178,6178,189
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,site.04.subj.00616.lab.707449.iso.1,UKMYC5,-8.059999999999999,-4.06,5774,5774,5774,217
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,site.10.subj.YA00046995.lab.YA00046995.iso.1,UKMYC5,-4.06,-3.06,80,98,279,512
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,site.04.subj.00825.lab.708226.iso.1,UKMYC5,-4.06,-3.06,9877,3586,352,228
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,site.20.subj.SA00224646.lab.YA00132630.iso.1,UKMYC6,-8.059999999999999,-5.06,102,190,3058,248
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.UA14-2017.lab.UA14-2017.iso.1,UKMYC5,-8.059999999999999,-4.06,6426,6426,6426,3212
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.00439.lab.700013.iso.1,UKMYC5,-8.059999999999999,-4.06,4703,2351,2351,2351
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2267.lab.FN-01054-17.iso.1,UKMYC6,-8.059999999999999,-5.06,1632,393,136,246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.01223.lab.718123.iso.1,UKMYC5,-8.059999999999999,-4.06,3692,3692,158,317
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,site.08.subj.05TB11041.lab.24562.iso.1,UKMYC5,-8.059999999999999,-4.06,5366,8825,7005,4971
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.05TB32047.lab.2001.iso.1,UKMYC5,-8.059999999999999,-4.06,3895,3895,973,1947
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2159.lab.FN-00248-16.iso.1,UKMYC6,-8.059999999999999,-5.06,635,511,94,221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.06TB_0983.lab.06MIL1978.iso.1,UKMYC6,-8.059999999999999,-5.06,1991,1991,995,1992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.00074.lab.631114.iso.1,UKMYC5,-8.059999999999999,-4.06,5561,5561,5561,2780
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00089975.lab.YA00089975.iso.1,UKMYC5,-8.059999999999999,-4.06,3708,7418,261,1047
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0091.lab.22A043.iso.1,UKMYC5,-8.059999999999999,-4.06,8559,8559,1374,354
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-1237.lab.CO-01133-19.iso.1,UKMYC6,-5.06,-4.06,6828,6828,6828,20
